Epoch,Temp C,Humidity %,Pressure mB
1761274154,31.03,47.30566,1007.67224
1761274184,31.04,47.66504,1007.65631
1761274214,31.2,47.6123,1007.62061
1761274246,31.31,47.32324,1007.60938
1761274276,31.3,47.03223,1007.65533
1761274306,31.24,47.01367,1007.66638
1761274336,31.08,47.22949,1007.62994
1761274366,31.2,47.0791,1007.56946
1761274396,31.16,47.24902,1007.59796
1761274426,31.36,47.08398,1007.52893
1761274456,31.39,46.89062,1007.58197
1761274486,31.39,46.7627,1007.53961
1761274516,31.38,46.98242,1007.552
1761274546,31.3,46.84766,1007.49353
1761274576,31.28,46.77539,1007.46619
1761272804,31.19,46.58008,1007.92828
1761274636,31.37,46.77246,1007.37518
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
1761274606,31.29,46.75391,1007.41815
1761274666,31.35,46.86328,1007.4292
1761274726,31.42,46.67285,1007.43048
1761274696,31.41,46.82324,1007.39313
1761274756,31.4,46.66016,1007.43585
1761274786,31.4,46.56836,1007.40234
1761274816,31.39,46.54199,1007.37537
1761274846,31.34,46.80469,1007.35602
1761274876,31.39,46.68164,1007.37048
1761274906,31.45,46.76953,1007.32751
1761274936,31.45,46.44531,1007.37018
1761274966,31.28,46.65918,1007.28717
1761274996,31.34,46.66602,1007.27283
1761275026,31.39,46.78613,1007.26501
1761275056,31.47,46.64453,1007.17468
1761275086,31.5,46.7168,1007.26392
1761275116,31.4,46.625,1007.19861
1761275146,31.39,46.62402,1007.23328
1761275176,31.48,46.80762,1007.18896
1761275206,31.49,46.29785,1007.20203
1761275236,31.46,46.73535,1007.1839
1761275266,31.55,46.7207,1007.24658
1761275296,31.44,46.45605,1007.20844
1761275326,31.41,46.50977,1007.24329
1761275356,31.34,46.6543,1007.1886
1761275386,31.37,46.65723,1007.18518
1761275416,31.51,46.49707,1007.20782
1761275446,31.57,46.49121,1007.18005
1761275476,31.53,46.30176,1007.14374
1761275506,31.39,46.56543,1007.18671
1761275536,31.4,46.78711,1007.14752
1761275566,31.42,46.69629,1007.15717
1761275596,31.45,46.65332,1007.15155
1761275626,31.59,46.4248,1007.16565
1761275656,31.56,46.44434,1007.14594
1761275686,31.62,46.43848,1007.12872
1761275716,31.69,46.57422,1007.11987
1761275746,31.78,46.44336,1007.11572
1761275776,31.77,46.06055,1007.15204
1761275806,31.65,46.26758,1007.12231
1761275836,31.81,46.36523,1007.10077
1761275866,31.91,46.21289,1007.04889
1761275896,31.88,46.44238,1007.04572
1761275926,31.89,46.38477,1007.10846
1761275956,31.75,46.02246,1007.12769
1761275986,31.73,45.92676,1007.10529
1761276016,31.68,46.24707,1007.05505
1761276046,31.74,46.06836,1007.06171
1761276076,31.65,45.94336,1007.02155
1761276106,31.75,46.13867,1006.94983
1761276136,31.74,46.28809,1006.97357
1761276166,31.84,46.27539,1006.95062
1761276196,31.87,46.12793,1006.96826
1761276226,31.87,45.7793,1006.91187
1761276256,31.83,45.84668,1006.95526
1761276286,31.83,45.83398,1006.97577
1761276316,31.64,46.09277,1007.00787
1761276346,31.61,46.25293,1006.98523
